Username,Rating,Date,Comment,Sentiment_VADER,Sentiment_Transformers
A***.,5,1 day ago,highly responsive accurate sensor great feeling perfect size,positive,positive
Tiar Y.,5,14 Mar 2024,actually quite hesitate whrn buy mouse cu crazy expensive received tried mouse really give sense worthy buttt dont mouse led light one line think broken shitttto good customer still give 5stats la,negative,negative
Metheldis R.,5,31 Jan 2024,cheapest price itemsuperbly fast drop deliveryok packagingonly bubblewrapped plasticitem genuine managed registered sn logitech websiteitem great gamingespecially huge right handed gamersall button feel soliddpi ridiculously highadjustable weightside scroll scroll buttonsfree scroll togglehold preciselow dpi functionboth dpi stage buttonsfully customisable chroma lightingthe downfall ghub kinda hassle download older window versionand i â€™ m using win8ps use edge download older version via websitethat â€™ s allhighly recommendedeasy 5 starskudos ğŸ’ª,positive,negative
Jeff T.,5,10 Mar 2021,skeptical buy store zero review product decided first customer since response chat fast helpful even weekend item received within day everything work perfectly per advitised 11 programmable button certainly help increase productivity copy paste show desktop open new tab close tab etc 25k dpi lighting fast thank freebie love,positive,positive
D***.,5,18 Sep 2021,fadt delivery well packaging box still intact little denteduse hour feeling great,positive,positive
daniel J.,5,23 hours ago,ive using week find better previous logitech mouse hopefully one last longer,positive,negative
MT L.,5,4 weeks ago,packing took time due 55 sale delivery fast box quite dented even though bubble wrapped nonetheless mouse perfect condition adjustable weight personalized balance ergonomic design comfortable grip,positive,negative
Evelyn L.,5,4 weeks ago,even though bubblewrapped box torn plastic mouse slightly opened sealed condition box inside opening bubble wrapping therefore due delivery original state wrapped make wonder whether returned product sold new paying much wish condition mouse came mint however work advertised mind ease troublesome ask replacement,positive,negative
JACKY N.,5,3 days ago,adjustable weight personalized balance durable construction longlasting use,neutral,negative
1***0,5,7 days ago,programmable button easy customization highly responsive accurate sensor,positive,positive
D***.,5,4 weeks ago,nice use it â€™ s ergonomic shape nice average sized hand comfortable playing gamessmooth precise cursor movement,positive,positive
Khian M.,5,10 Sep 2022,mouse quality best solid also delivery faster mind 99 order receive 109,positive,positive
asouldiana,5,03 Feb 2023,æ€§ä»·æ¯”å’Œå¤–è²Œå¾ˆå¥½çš„ä¸€æ¬¾é¼ æ ‡ï¼Œç‰©æµé€Ÿåº¦ä¸é”™ï¼ŒåŒ…è£…è¿˜è¡Œ,neutral,negative
L***.,5,07 Mar 2023,functionalitygreat qualitypaduuuuuuu materialfeel like proffesional gamers useğŸ¤£,positive,negative
1***9,5,01 Jun 2022,good nice mouse use delivery quite quick,positive,positive
A***.,5,06 Sep 2022,lorem ipsum dolor sit amet consectetur adipiscing elit sed bibendum diam tempus tempor enim enim convallis nunc ac euismod mi neque sit amet leo orci varius natoque penatibus et magnis dis parturient monte nascetur ridiculus mu suspendisse ipsum ante laoreet eget duo vel aliquam tempor diam duis ultrices viverra,neutral,negative
1***6,5,03 Aug 2022,good product feel great like much professional software set specific configuration,positive,positive
S***.,5,09 Jul 2022,excellent mouse u control speed roller,positive,positive
LCY,5,06 Apr 2024,programmable button easy customization customizable rgb lighting personalized look compatible pc mac system,positive,negative
N***.,5,28 Aug 2023,mouse arrived good quality time authentic,positive,positive
David L.,5,4 weeks ago,highly responsive accurate sensor smooth precise cursor movement,positive,positive
Maisarah S.,5,22 Dec 2021,mouse great form factor weight easy customisation it â€™ s simply perfect minor issue button placement hand bit small it â€™ s bit uncomfortable upgrading g300s i â€™ m used extra button side g502 they â€™ re left side need time get used would highly recommend,positive,negative
l***.,5,2 weeks ago,look cute fast delivery look cool hope good use,positive,positive
J***.,5,05 Mar 2024,smooth precise cursor movement onboard memory saving personalized setting highly responsive accurate sensor high dpi range precise tracking highly responsive accurate sensor,positive,positive
H***.,5,23 Feb 2024,high dpi range precise tracking highly responsive accurate sensor smooth precise cursor movement,positive,positive
Raja A.,5,29 Feb 2024,high dpi range precise tracking adjustable weight personalized balance highly responsive accurate sensor ergonomic design comfortable grip onboard memory saving personalized setting,positive,positive
Caston,5,31 Mar 2024,highly responsive accurate sensor high dpi range precise tracking,positive,positive
Vivian T.,5,28 Mar 2024,quality â¤â¤â¤â¤â¤ material â¤â¤â¤â¤â¤ functionality â¤â¤â¤â¤â¤â¤â¤â¤â¤â¤â¤â¤â¤,neutral,positive
Z***.,5,24 Jan 2024,functionalitylots dpi setting choose programmable button gaming macro command software like adobe photoshop qualitysomewhat average scroll wheel plasticky finish mouse doesnt stress relief guard cord materialhigh quality plastic light liking despite supplied iron weight bought g502 hero whim without due diligence part old corsair m65 corded gaming mouse stopped working 7 year im familiar logitech g series mouse chose one looked good affordable mouse optional weight theyre positioned center towards back unlike corsair m65 there provision adding weight front therefore weight distribution rear heavy plus side g502 hero scroll wheel quite sensitive need light touch surface calibration feature model particular reason mouse find easy adapt normal use quite hoped fps gaming,positive,negative
c***y,5,15 Mar 2024,fast delivery good packing ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ» product really nice,positive,positive
Gary T.,5,07 Jan 2024,functionalitysuperb good qualitygood built price materialplastic metal roller step bit big compare mouseï¼Œ mouse click slightly solid compare 502x near half priceï¼Œ complain,positive,positive
Cheng R.,5,30 Dec 2023,mouse comfortable hold feel smooth definitely recommended anyone want buy mouse,positive,positive
Norman I.,5,11 Jun 2021,mouse terbaik yang pernah dipakai,neutral,negative
Joseph C.,5,17 Dec 2023,ergonomic design comfortable grip downside scroll wheel fast loose mode,neutral,positive
Mohamed H.,5,02 Apr 2021,puas hati beli,neutral,negative
N***.,5,06 Jun 2021,good scratch,positive,positive
Y***H,5,17 Nov 2023,ergonomic design comfortable grip smooth precise cursor movement compatible pc mac system highly responsive accurate sensor,positive,positive
kuzon73,5,12 Apr 2023,tolong improve laa brg ori xkan balut cikai jer kotak kemek gilaa pakai la inflatable air jgn pakai bubblewarp,positive,negative
Khian M.,5,16 Nov 2023,second time buy g507 hero best ever mouse used recommended guy buy work even gaming coz smoothly functional gaming,positive,positive
Y***.,5,15 Jul 2021,good,positive,positive
Tan D.,5,18 Dec 2023,customizable rgb lighting personalized look,neutral,positive
Teoh C.,5,19 Sep 2023,functionalitywork intended qualityall button feel solid materialrubbers side feel really good,positive,positive
Damaris K.,5,25 Jan 2023,really solid mouse replaced g402 item arrived relatively fast,positive,positive
Zarif A.,5,02 Mar 2021,really nice mouse good condition ğŸ‘ğŸ¼ğŸ‘ğŸ¼,positive,positive
L***.,5,12 Oct 2023,nice mouse good weight suitable big hand,positive,positive
1***5,5,08 Jul 2023,even though nowadays mices getting lightweight still best mouse many year never tried get try,positive,negative
Y***n,5,19 Sep 2023,pretty goodğŸ‘ quality1010 functionality1010 material1010,positive,positive
A***.,5,24 Sep 2021,bit slow delivery otherwise good tracking system box slightly dented inside problem good mouse use,positive,negative
K***.,5,20 Sep 2021,box bit dented device fine performance condition still good ğŸ‘ğŸ» fast delivery definitely recommended promo price,positive,positive
KxDiong,5,16 Aug 2023,good product quality good value money excellent service seller,positive,positive
Leong K.,5,03 Apr 2021,thanks received good condition ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘,positive,positive
LIM G.,5,20 Jun 2023,lover mouse wan buy long time ago long logictech mouse pricing high acceptable max rm100 rm150 tooo expensive mouse,positive,negative
SL L.,5,09 Jun 2023,item fast delivered received good order working fine advertised seller effectively recommended,positive,positive
Vincent Y.,5,29 Mar 2023,functionalitycustomized button qualitybuild quality solid good affordable gaming mouse delivery fastwithin 24 hour received mouse thank seller,positive,positive
Ho Y.,5,2 days ago,using week upgraded g402 pro fit hand well ymmv side button wider 402 natural press toggle smoothstepped mouse wheel lr mouse wheel button cray feel delighted come back con heavy modern mouse 100g give weight sometimes ghub doesnt detect game wish still abovemousewheel button like mx512,positive,negative
Jason L.,5,3 weeks ago,adjustable weight personalized balance ergonomic design comfortable grip smooth precise cursor movement,positive,positive
K***.,5,11 Jun 2022,fast delivery damage product well known mouse gamer,negative,negative
****3,5,15 Feb 2023,item received first time bought logitech product hopefully quality satisfy,positive,positive
Robert S.,5,01 Jul 2022,wrapped bubble wrap box slightly dented since small nonrigid box mouse work fine weight adjustment desirable suit way move mouse grip feel rubber plastic nice highly recommended looking great gaming mouse cheaper end,positive,positive
Shyris,5,30 Mar 2022,fast delivery even ftom johor item recieved advertised price cant say anything else cheap yet function get mouse exceptional,neutral,negative
KONG W.,5,07 Apr 2022,quick delivery genuine product ğŸ‘ğŸ» really enjoy using mouse,positive,positive
Winner K.,5,11 Apr 2022,nice good,positive,positive
Kent K.,5,10 Mar 2023,quality functionalityvery good product,positive,positive
1***1,5,08 Jul 2022,simply amazing feel much better older mouse look beautiful rgbs,positive,positive
Joergen K.,5,14 Sep 2022,good fast delivery service responsive seller good quality,positive,positive
T***.,5,21 Jan 2023,mouse good quality look cool shortcoming mouse heavy big,positive,positive
Muhammad F.,5,20 Sep 2022,working perfectly,positive,positive
M***.,5,06 Mar 2023,great product,positive,positive
1***7,5,13 Mar 2023,good material good quality fast delivery good function thanks,positive,positive
X***.,5,01 Aug 2022,gud function properly bought bcos razer basilisk x kinda broken,negative,negative
Wilber S.,5,03 Jun 2022,thing great come 3 day time tht box run shape abit,positive,positive
A***.,5,30 Mar 2022,first time buying higher range mouse damn got ta say mouse feel amazing never going back cheap mouse i â€™ m sorry ğŸ˜†,positive,positive
Christopher J.,5,08 Mar 2023,functionalitylove qualitygood like materialperfect,positive,negative
H***.,5,03 Mar 2023,qualitygood functionalitygood materialgood,neutral,positive
arsalan K.,5,16 Dec 2022,fast delivery high quality packaging mouse big enough hand quality product high also used logitech software customization mouse,positive,positive
Zero W.,5,01 Feb 2023,ä¹‹å‰å› ä¸ºæ­£ç‰ˆçš„æ»‘é¼ å¤ªè´µäº†ï¼Œæ‰€ä»¥ä¹‹å‰ç”¨çš„æ˜¯ä¸­å›½çš„å†’ç‰Œè´§ï¼Œå› ä¸ºä¸€ç›´æœ‰é—®é¢˜æ‰ä¸‹å®šå†³å¿ƒä¹°æ­£ç‰ˆã€‚ä¸ä¹°è¿˜å¥½ä¸€ä¹°äº†å°±å›ä¸å»äº†ï¼Œæ­£ç‰ˆå’Œå‡ç‰ˆå·®å¤ªå¤š,neutral,negative
Wei B.,5,14 Jul 2022,product good delivery speed also fast order 127 come 147 although live selangor come johor good seller buy,positive,positive
N***.,5,31 Mar 2022,fast delivery despite dent box everything okay,positive,positive
Regis R.,5,09 May 2022,item received welland feel really nice hand well packed sellerthank,positive,positive
he X.,5,03 Feb 2023,everything good,positive,positive
L***.,5,02 Mar 2022,come good condition,positive,positive
Chan H.,5,16 Mar 2023,best best ğŸ’ªğŸ’ªğŸ’ªğŸ’ªğŸ’ªğŸ’ªğŸ’ªğŸ’ªğŸ’ªğŸ’ªğŸ’ªğŸ’ªğŸ’ªğŸ’ªğŸ’ªğŸ’ªğŸ’ªğŸ’ª,positive,positive
W***.,5,13 Feb 2023,good product,positive,positive
Present Q.,5,13 Oct 2022,box say really bad mouse good,negative,positive
tommy S.,5,07 Mar 2022,good quality,positive,positive
Jiu Y.,5,01 Jun 2022,g502 hero mouse needed daily gaming comfy sturdy scroll wheel delightfully designed,positive,positive
1***4,5,12 Jul 2022,perfect grip ur hand multiple control good qualitynot mention pricy despite mouse market fighting lightness sure make way highly recommended people us high sensitivity 106g mouse u even add weight mention 25k dpi might old model u dun mind wired perfect go,positive,positive
Mobin,5,10 Jun 2022,fast shippingğŸ‘great productno issueno damageniceğŸ’•,neutral,negative
Rachael E.,5,14 Jan 2022,box slightly dented everything work fine fast delivery worth price,positive,positive
Vengades B.,5,25 Apr 2024,highly responsive accurate sensor ergonomic design comfortable grip adjustable weight personalized balance smooth precise cursor movement,positive,positive
Ping W.,5,03 Jan 2022,parcel nicely wrapped bubble damage box content satisfied mouse quality come back looking logitech g merchandise,positive,positive
K***t,5,04 Mar 2022,ä¸é”™ä½†ç›’å­æœ‰ç‚¹å‡¹,neutral,negative
P***a,5,31 May 2023,order received good condition ğŸ‘ğŸ‘ğŸ‘ thank much,positive,positive
S***e,5,22 Jun 2023,bought brother said like much,positive,positive
WONG H.,5,06 Apr 2023,whole problem work smoothly,negative,positive
Alex W.,5,20 Nov 2021,fast delivery good product,positive,positive
0***3,5,09 Mar 2024,smooth precise cursor movement high dpi range precise tracking adjustable weight personalized balance durable construction longlasting use,neutral,negative
William T.,5,21 Jul 2023,best,positive,positive
Rade K.,5,02 Mar 2021,great logitech store thanks dented packing 55 star u,positive,positive
Frost,5,23 Oct 2021,product well packaged arrived fast overall great shopping experience store,positive,positive
Zachary L.,5,24 Feb 2021,good packaging fast delivery overall good mouse imo upgraded g103 find lil heavy without weight still highly customizable would definitely recommend,positive,positive
Ah J.,5,20 Feb 2021,good packaging,positive,positive
Caroline K.,5,19 Feb 2021,super fast delivery 17th placed order received 19th,positive,negative
Muhd A.,5,17 Feb 2021,semalam packing harini jugak sampai servis terbaik daripada dua2 belah pihak penjual dan penghantaran 1010 gon na buy official store,neutral,negative
Ho H.,5,21 May 2023,good conditionï¼Œ quality assure,positive,positive
Lchin,5,11 Feb 2021,work perfectly,positive,positive
mon,5,28 Jan 2021,received love,positive,positive
E***r,5,17 Nov 2023,quality box dent product ok,positive,positive
Krishna N.,5,10 Jan 2021,fast delivery packaging well protected bubble wrap damage perfect quality,positive,negative
W***n,5,09 Apr 2023,fast delivery good quality,positive,positive
CY C.,5,16 Sep 2021,great product value money sufficiently fast shipping,positive,positive
w***.,5,13 Sep 2021,box damage sikit inside gooddelivery fast,negative,negative
Muhammad A.,5,13 Sep 2021,nicely pack n fast shipping item work perfect n lovelylove additional weight set also infinity scroll wheel,positive,positive
Wayne K.,5,24 Dec 2020,fast delivery important thing fit hand perfectlyâœ‹,positive,positive
M***.,5,08 Sep 2021,worth every penny search gaming mouse rm200 one,positive,negative
Adib S.,5,24 Dec 2020,fast delivery ğŸ˜ item received good condition burble wrap box dont know say important mouse ğŸ¤© logitech software detect fast legit ğŸ”¥,positive,negative
bashir,5,21 Dec 2020,soo nice smooth fast light speed,positive,positive
Choy Y.,5,21 Dec 2020,box bend mouse work well nice,positive,positive
Lee Q.,5,15 Dec 2020,well packed order 1212 received 1412 shipping wont wait long thumb upğŸ‘ğŸ‘,positive,positive
abdul B.,5,14 Dec 2020,terbaikmantap,neutral,positive
Sithi N.,5,21 Aug 2021,fast shipping excellent servicehoweverthe delivery super slowtook 10 day get parcelits seller faultgood mouse good quality,positive,positive
James M.,5,23 Nov 2020,packing insanely good,positive,positive
Woon L.,5,09 Apr 2023,fast,neutral,positive
Derrick C.,5,12 Aug 2021,item received good condition excellent quality ğŸ‘ğŸ»,positive,positive
William C.,5,12 Aug 2021,well delivered thanks,positive,positive
D***.,5,11 Aug 2021,box bit dented mouse perfect conditionfast delivery mouse originalsafe buy,positive,negative
Yahya A.,5,26 Jul 2021,box bit dented handling pacakging well padded item received well mouse self prefer wheel g403 nice,positive,negative
Z L.,5,26 Jul 2021,received great condition great mouse,positive,positive
Lum X.,5,16 Oct 2020,quick delivery within 2 day despite temco product average totally suit wired mouse lover like,positive,negative
Ling F.,5,17 Jul 2021,love much,positive,positive
N***.,5,15 Jul 2021,got mouse using couple day best thing mouse scroll wheel toggle locked scrolling free roll also scroll sideways size mouse bit small 170cm 70kg adjustable weight good without extra weight mouse already quite sturdy slight problem mouse 2 button next lmb sometimes ill accidentally click overall worth,positive,negative
f***n,5,14 Jul 2021,good quality poor handling parcel,negative,positive
Daniel I.,5,14 Jul 2021,mouse berat bagus untuk kawalan yg dinamik kena install software untuk custom setting,neutral,negative
master J.,5,03 Jul 2021,item working expected able use g hub setup g502 hero overall satisfied purchase,positive,positive
C***.,5,28 Dec 2023,adjustable weight personalized balance high dpi range precise tracking durable construction longlasting use,neutral,negative
Christopher N.,5,24 Aug 2021,cod ok ori best delivery man go away immediately time check box best,positive,positive
Kok P.,5,25 Jun 2021,good service chat response fast good packaging layer bubble wrap box bit dent care janji mouse perfect must support store kao kao,positive,positive
S***.,5,24 Jun 2021,carefully wrapped fast shipping mouse good buy ğŸ‘Œ,positive,positive
Muhammad H.,5,24 Jun 2021,skeptical g502 g402 yolod worth button great feel nice l hand look nice doesnt interfere handling 36g weight make mouse heavier nice touch like high dpi want control get discount g502 get shipment okay fmco still respectable time handling product typical logitech good care product,positive,positive
Reuben S.,5,23 Jun 2021,decent gaming mouse good sensitivity button adjustable weight give solid feel individual taste scroll lock button give different option scroll wheel dpi clutch allows immediate switch different dpi set ghub recommended small hand clutch button quite far ahead download install ghub full functionality,positive,positive
T***h,5,22 Jun 2021,good product quality worth money highly recommends,positive,positive
J***.,5,21 Jun 2021,great mouse ive ever awesome gaming give 95 10,positive,positive
M***y,5,19 Jun 2021,mouse delivered well condition flaw box crumpledkemek,positive,negative
Y***X,5,18 Jun 2021,satisfying shipping speed mouse excellent quality,positive,positive
1***6,5,17 Jun 2021,awesomegood packaging n good conditionpavkage dented torn waymouse best ive ever used,positive,positive
K***.,5,14 Jun 2021,got recommended baobao due collab stream pleased quality got 1st logitech equipment buy logitech future p collab baobao tq,positive,positive
J***.,5,11 Jun 2021,one best wired mouse recieved good condition expected delivery date,positive,positive
Dzafira D.,5,12 Aug 2020,packaging great item secure arrived safely weight definitely good buy without sale price,positive,positive
Beh K.,5,11 Aug 2020,dont tell mom bought cheap keyboard match gaming mouse ğŸ¤«,neutral,negative
Pooh,5,06 Aug 2020,ordered 48 received 58 fast delivery item well pack dent box mouse ğŸ‘,positive,positive
Sook K.,5,05 Jun 2021,kotak kemek sikit tapi mouse nasib baik ok je,positive,negative
Mohamad H.,5,14 Dec 2023,customizable rgb lighting personalized look smooth precise cursor movement highly responsive accurate sensor,positive,positive
JWSiaw,5,14 Dec 2023,highly responsive accurate sensor durable construction longlasting use onboard memory saving personalized setting high dpi range precise tracking customizable rgb lighting personalized look smooth precise cursor movement programmable button easy customization compatible pc mac system,positive,positive
ä¸–æƒ,5,06 Mar 2024,shipping fast package good quality assured,positive,positive
Ryan T.,5,12 Jul 2020,received item 4 day placing order item well packaged excellent quality love far,positive,positive
Sean L.,5,11 Jul 2020,delivery fastbut package ive received bit dented im blaming seller courier service handling good careful luckily mouse whatsoever problemand fine,positive,negative
1***6,5,3 weeks ago,receive good condition,positive,positive
Kavita R.,5,23 May 2020,bought g502 hero g512 lightsync together item came within 5 day placing order multiple button mouse able spam voice line key overwatch never felt better say genji spamming heals,negative,negative
Muhammad D.,5,21 May 2020,really satisfied quality performance product complains ğŸ‘ŒğŸ»,positive,negative
Muhammad I.,5,21 May 2020,thank barang sampai dengan baik dan packaging dengan elok musim pkp ni barang lambat sikit sampai,positive,positive
Aiman W.,5,20 May 2020,got product safely,positive,positive
Mohammad L.,5,20 May 2020,good packaging original item working intended,positive,positive
WONG K.,5,09 Apr 2021,nice n good ğŸ‘ğŸ»,positive,positive
Elvin S.,5,08 Apr 2021,bought 27th march 2021 item received good condition box abit damaged maybe due courier overall item fine everything work normally excellent,positive,positive
Hakim,5,07 Apr 2021,nice properly wrapped fast delivery lazada ğŸ‘ğŸ‘ nice promo tho,positive,positive
1***0,5,06 Apr 2021,heard review first customer wondering true impressed tell truth dont mind red marker university mail sorting system mouse actually came early cant grab since mail office close box great shape stuff inside mose feel incredible packaging bubble wrap pop later fun mouse guy great keep good work ğŸ¤,positive,positive
Luqman L.,5,05 Apr 2021,best mouse ever thank logitech â˜ºï¸ğŸ¥µğŸ”¥,positive,positive
Law W.,5,03 Apr 2021,worth money,positive,positive
S***f,5,02 Apr 2021,beli masa lazada birthday dapat rm150 jer ğŸ‘,neutral,negative
Rhen G.,5,18 Jan 2024,safely received good design good handling feel havent start setting yet,positive,positive
SEOW Y.,5,03 Apr 2020,great worth price,positive,positive
Shahbanu,5,18 Mar 2020,fast delivery packed neatly thank,positive,positive
Daus,5,19 Feb 2020,good item worth price,positive,positive
m***y,5,02 Nov 2023,skeptical first product proven wrong efficient made life much easier appreciate attention detail design couldnt happier choice,positive,negative
